RA,Dec
22.96875,57.14764
22.97,-13.61417
23.0175,-9.53014
23.01833,-63.04847
23.02,12.28944
23.02792,-23.64792
23.03167,-36.01528
23.06833,9.22583
23.13125,-34.00347
23.13667,-49.52722
23.1375,-8.15361
23.14958,-27.72972
23.15667,-49.72681
23.15708,-46.20875
23.16875,-8.06903
23.17834,-65.90958
23.21208,23.02792
23.22042,58.6118
23.28417,-52.00389
23.28667,-45.59125
23.28875,-24.82889
23.3,-35.32375
23.3225,23.19028
23.32958,23.97486
23.35375,49.61986
23.37292,30.45528
23.39583,-64.57875
23.4,-21.16917
23.42958,-12.155
23.46209,30.65903
23.47292,1.22875
23.49583,-17.64097
23.56208,-47.36806
23.57167,-42.9725
23.57875,1.78028
23.58,0.26111
23.585,-26.10903
23.58667,-17.26792
23.5975,1.60583
23.6,-16.11903
23.60417,-15.81958
23.61167,64.4475
23.61333,26.64625
23.64375,-38.73611
23.67958,-41.60278
